"table_name","column_name","data_type","is_key"
"aba_permissoes","aba_id","uuid",True
"aba_permissoes","jogador_id","uuid",True
"aba_permissoes","id","uuid",True
"aba_permissoes","nivel_acesso","character varying",False
"aba_permissoes","criado_em","timestamp without time zone",False
"automacao_log","automacao_id","uuid",True
"automacao_log","evento_id","uuid",True
"automacao_log","status","character varying",False
"automacao_log","detalhes","text",False
"automacao_log","executado_em","timestamp with time zone",False
"automacao_log","id","uuid",True
"automacao_tipos","nome","character varying",True
"automacao_tipos","id","uuid",True
"automacao_tipos","parametros_schema","jsonb",False
"automacao_tipos","descricao","text",False
"automacoes","id","uuid",True
"automacoes","tipo_id","uuid",True
"automacoes","evento_id","uuid",True
"automacoes","criado_em","timestamp with time zone",False
"automacoes","ativo","boolean",False
"automacoes","parametros","jsonb",False
"comentarios","autor_id","uuid",True
"comentarios","conteudo","text",False
"comentarios","criado_em","timestamp without time zone",False
"comentarios","id","uuid",True
"comentarios","postagem_id","uuid",True
"cronica_abas","criado_em","timestamp without time zone",False
"cronica_abas","tipo","character varying",False
"cronica_abas","nome","character varying",False
"cronica_abas","cronica_id","uuid",True
"cronica_abas","id","uuid",True
"cronica_jogadores","papel","character varying",False
"cronica_jogadores","cronica_id","uuid",True
"cronica_jogadores","usuario_id","uuid",True
"cronica_jogadores","id","uuid",True
"cronicas","status","character varying",False
"cronicas","id","uuid",True
"cronicas","data_termino","timestamp without time zone",False
"cronicas","layout_escudo","jsonb",False
"cronicas","narrador_id","uuid",True
"cronicas","sistema_id","uuid",True
"cronicas","sistema","character varying",False
"cronicas","criado_em","timestamp without time zone",False
"cronicas","nome","character varying",False
"cronicas","descricao","text",False
"cronicas","capa_url","character varying",False
"elementos_cronica","dados_ficha","jsonb",False
"elementos_cronica","id","uuid",True
"elementos_cronica","imagem_url","character varying",False
"elementos_cronica","visivel_para_jogadores","boolean",False
"elementos_cronica","criado_em","timestamp without time zone",False
"elementos_cronica","cronica_id","uuid",True
"elementos_cronica","descricao","text",False
"elementos_cronica","nome","character varying",False
"elementos_cronica","tipo","character varying",False
"entidade_nucleos","tipo","character varying",False
"entidade_nucleos","avatar_url","text",False
"entidade_nucleos","cronica_id","uuid",True
"entidade_nucleos","criado_em","timestamp with time zone",False
"entidade_nucleos","id","uuid",True
"entidade_nucleos","nome","character varying",False
"entidades_mundo","id","uuid",True
"entidades_mundo","tipo","character varying",False
"entidades_mundo","dados","jsonb",False
"entidades_mundo","usuario_id","uuid",True
"entidades_mundo","atualizado_em","timestamp with time zone",False
"entidades_mundo","nome","character varying",False
"entidades_mundo","criado_em","timestamp with time zone",False
"entidades_mundo","cronica_id","uuid",True
"escudo_cards_monstros","hp_max","integer",False
"escudo_cards_monstros","hp_atual","integer",False
"escudo_cards_monstros","nome","character varying",False
"escudo_cards_monstros","criado_em","timestamp with time zone",False
"escudo_cards_monstros","imagem_url","text",False
"escudo_cards_monstros","id","uuid",True
"escudo_cards_monstros","iniciativa","integer",False
"escudo_cards_monstros","cronica_id","uuid",True
"escudo_saves","dados","jsonb",False
"escudo_saves","nome","character varying",False
"escudo_saves","nucleo_id","uuid",True
"escudo_saves","criado_em","timestamp with time zone",False
"escudo_saves","sessao_id","uuid",True
"escudo_saves","cronica_id","uuid",True
"escudo_saves","id","uuid",True
"event_flag_weights","peso","integer",False
"event_flag_weights","flag_key","character varying",True
"event_flag_weights","node_id","uuid",True
"event_flag_weights","event_id","uuid",True
"event_flag_weights","id","uuid",True
"event_nucleos","nucleo_id","uuid",True
"event_nucleos","event_id","uuid",True
"evento_nucleos","id","uuid",True
"evento_nucleos","criado_em","timestamp with time zone",False
"evento_nucleos","nome","character varying",False
"evento_nucleos","cronica_id","uuid",True
"fichas_base","avatar_url","character varying",False
"fichas_base","usuario_id","uuid",True
"fichas_base","atualizado_em","timestamp without time zone",False
"fichas_base","criado_em","timestamp without time zone",False
"fichas_base","dados_ficha","jsonb",False
"fichas_base","sistema_id","uuid",True
"fichas_base","id","uuid",True
"fichas_base","nome_personagem","character varying",False
"gaveta_fichas","usuario_id","uuid",True
"gaveta_fichas","tipo","character varying",False
"gaveta_fichas","id","uuid",True
"gaveta_fichas","dados_ficha","jsonb",False
"gaveta_fichas","nome","character varying",False
"gaveta_fichas","criado_em","timestamp with time zone",False
"nucleo_diplomacia","nucleo_a_id","uuid",True
"nucleo_diplomacia","criado_em","timestamp with time zone",False
"nucleo_diplomacia","cronica_id","uuid",True
"nucleo_diplomacia","status","character varying",False
"nucleo_diplomacia","nucleo_b_id","uuid",True
"nucleo_diplomacia","id","uuid",True
"perfis_cronica","cronica_id","uuid",True
"perfis_cronica","usuario_id","uuid",True
"perfis_cronica","avatar_url","character varying",False
"perfis_cronica","id","uuid",True
"perfis_cronica","apelido","character varying",False
"personagens","nome","character varying",False
"personagens","id","uuid",True
"personagens","arete","integer",False
"personagens","criado_em","timestamp with time zone",False
"personagens","usuario_id","uuid",True
"personagens","dados_ficha","jsonb",False
"personagens","exp_total","integer",False
"personagens","exp_gasta","integer",False
"personagens","cronica_id","uuid",True
"personagens","tradicao","character varying",False
"personagens","conceito","character varying",False
"personagens","natureza","character varying",False
"personagens","comportamento","character varying",False
"personagens","essencia","character varying",False
"personagens_cronica","dados_ficha","jsonb",False
"personagens_cronica","nome_personagem","character varying",False
"personagens_cronica","cronica_id","uuid",True
"personagens_cronica","jogador_id","uuid",True
"personagens_cronica","criado_em","timestamp without time zone",False
"personagens_cronica","ficha_base_id","uuid",True
"personagens_cronica","aprovado_pelo_narrador","boolean",False
"personagens_cronica","exp_gasta","integer",False
"personagens_cronica","exp_total","integer",False
"personagens_cronica","id","uuid",True
"personagens_historico","personagem_id","uuid",True
"personagens_historico","criado_em","timestamp with time zone",False
"personagens_historico","id","uuid",True
"personagens_historico","exp_gasta","integer",False
"personagens_historico","exp_total","integer",False
